Domain,"Variable Description","Key Analysis Variable","Flags for Analysis","ANALYSIS DATASET(S) INCLUSION","CB STANDARIZED variable
[max 12 characters = study (C_) + domain (XX) + name (8 char)]","CB SOURCE variable","Type/ Length",Origin,"CB categorical values as they appear on Survey","CB calculation/format","CB timepoints (weeks)","CB SOURCE: Data table(s) (for raw variables only)","CB CRF # (for raw variables only) and Q#",Notes,"BACPAC Harmonization","Reference Documents (original ques/measurement text, code, etc)",References
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL51MF) for Missing Reason",,C_IMFFXL51MU,ff_max_l5s1_mu,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L5S1
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL51MF,C_IMFFXL51MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L5S1
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL51PF) for Missing Reason",,C_IMFFXL51PS,ff_max_l5s1_ps,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L5S1 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL51PF,C_IMFFXL51PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L5S1 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL45EF) for Missing Reason",,C_IMFFXL45ES,ff_max_l4l5_es,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL45EF,C_IMFFXL45EF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL45MF) for Missing Reason",,C_IMFFXL45MU,ff_max_l4l5_mu,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L4L5
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL45MF,C_IMFFXL45MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L4L5
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL45PF) for Missing Reason",,C_IMFFXL45PS,ff_max_l4l5_ps,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L4L5 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL45PF,C_IMFFXL45PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L4L5 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL34EF) for Missing Reason",,C_IMFFXL34ES,ff_max_l3l4_es,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL34EF,C_IMFFXL34EF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL34MF) for Missing Reason",,C_IMFFXL34MU,ff_max_l3l4_mu,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L3L4
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL34MF,C_IMFFXL34MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L3L4
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL34PF) for Missing Reason",,C_IMFFXL34PS,ff_max_l3l4_ps,Num/?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L3L4 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L3L4 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL34PF,C_IMFFXL34PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L3L4 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL23EF) for Missing Reason",,C_IMFFXL23ES,ff_max_l2l3_es,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL23EF,C_IMFFXL23EF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL23MF) for Missing Reason",,C_IMFFXL23MU,ff_max_l2l3_mu,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L2L3
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL23MF,C_IMFFXL23MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L2L3
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL23PF) for Missing Reason",,C_IMFFXL23PS,ff_max_l2l3_ps,Num/?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L2L3 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L2L3 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL23PF,C_IMFFXL23PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L2L3 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL12EF) for Missing Reason",,C_IMFFXL12ES,ff_max_l1l2_es,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL12EF,C_IMFFXL12EF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL12MF) for Missing Reason",,C_IMFFXL12MU,ff_max_l1l2_mu,Num/3,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L1L2
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL12MF,C_IMFFXL12MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
: Maximum fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L1L2
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFXL12PF) for Missing Reason",,C_IMFFXL12PS,ff_max_l1l2_ps,Num/?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L1L2 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Maximum fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L1L2 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFXL12PF,C_IMFFXL12PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Maximum fat fraction value within both left and right
psoas muscle ROIs from 2 adjacent slices at the L1L2 disc
level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Average fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFAL51MF) for Missing Reason",,C_IMFFAL51MU,ff_mean_l5s1_mu,Num/2.4?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L5S1
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Average fat fraction value within both left and right multifidus muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFAL51MF,C_IMFFAL51MF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right
multifidus muscle ROIs from 2 adjacent slices at the L5S1
disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Average fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFAL51PF) for Missing Reason",,C_IMFFAL51PS,ff_mean_l5s1_ps,Num/2.4?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Average fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFAL51PF,C_IMFFAL51PF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right psoas muscle ROIs from 2 adjacent slices at the L5S1 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION: Average fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,"For Missing data, see Flag Variable (C_IMFFAL45EF) for Missing Reason",,C_IMFFAL45ES,ff_mean_l4l5_es,Num/?,"Post-processing data",NA,"BEST12. ","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,
"Pathophysiology / Imaging (IM)","MUSCLE FAT FRACTION:  [FLAG VARIABLE, Reason for Missing Data] Average fat fraction value within both left and right erector spinae muscle ROIs from 2 adjacent slices at the L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,,C_IMFFAL45EF,C_IMFFAL45EF,Num/4,"Post-processing data",NA,"IMFLAG.  
Missing value codes:
111=missing acquisition
222=missing from field of view
333=missing due to damage(non segmentable)
444=incomplete (e.g. scoliosis)
555=artifact (e.g. metallic implant)
9999=missing data for any reason","0, 104",CMBKderived.csv,NA,"NOTE: Muscle Segmentation - IDEAL Data 
Clinical Spine MRI post-processing assessments were performed by the UCSF Pathophysiology Core
MUSCLE FAT FRACTION: Advanced Spine MRI
Average fat fraction value within both left and right
erector spinae muscle ROIs from 2 adjacent slices at the
L4L5 disc level on Ax IDEAL MRI Fat Fraction maps",,,
